Timestamp,Received Data
Timestamp,Received Data
Timestamp,Received Data
2024-08-27 15:05:59.159930,Soil Moisture Level: 0
2024-08-27 15:05:59.197623,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:00.194735,Soil Moisture Level: 0
2024-08-27 15:06:00.231142,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:01.215646,Soil Moisture Level: 0
2024-08-27 15:06:01.251915,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:02.240402,Soil Moisture Level: 0
2024-08-27 15:06:02.277908,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:03.260117,Soil Moisture Level: 0
2024-08-27 15:06:03.296414,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:04.288555,Soil Moisture Level: 0
2024-08-27 15:06:04.324872,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:05.308288,Soil Moisture Level: 0
2024-08-27 15:06:05.344583,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:06.343021,Soil Moisture Level: 0
2024-08-27 15:06:06.385236,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:07.375298,Soil Moisture Level: 0
2024-08-27 15:06:07.411739,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:08.403772,Soil Moisture Level: 0
2024-08-27 15:06:08.453060,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:09.428892,Soil Moisture Level: 0
2024-08-27 15:06:09.464768,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:10.454477,Soil Moisture Level: 0
2024-08-27 15:06:10.491075,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:11.464253,Soil Moisture Level: 0
2024-08-27 15:06:11.503265,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:12.495234,Soil Moisture Level: 0
2024-08-27 15:06:12.532877,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:13.526230,Soil Moisture Level: 0
2024-08-27 15:06:13.563807,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:14.539714,Soil Moisture Level: 0
2024-08-27 15:06:14.579855,Humidity: 69.00 %	Temperature: 27.30 *C
2024-08-27 15:06:15.563184,Soil Moisture Level: 0
